"2X1805Y0925","1805","925","2","Tower"
"2X1630Y1821","1630","1821","2","Shapiro"
"1X3230Y0880","3230","880","1","45 Francis"
"1X2770Y1070","2770","1070","1","45 Francis"
"1X1845Y1250","1845","1250","1","Tower"
"2X2240Y0965","2240","965","2","45 Francis"
"3X2323Y0851","2323","851","3","45 Francis"
"2X2623Y1018","2623","1018","2","45 Francis"
"L1X2310Y1043","2310","1043","L1","45 Francis"
"2X1726Y2210","1726","2210","2","Shapiro"
"2X1875Y1025","1875","1025","2","Tower"
"1X3265Y0830","3265","830","1","45 Francis"
"1X2605Y1340","2605","1340","1","45 Francis"
"1X1707Y2164","1707","2164","1","Shapiro"
"3X1735Y0820","1735","820","3","Tower"
"2X1692Y2124","1692","2124","2","Shapiro"
"3X1580Y1858","1580","1858","3","Shapiro"
"L1X1637Y2116","1637","2116","L1","Shapiro"
"2X2672Y0902","2672","902","2","45 Francis"
"2X3745Y0780","3745","780","2","15 Francis"
"L1X2770Y1284","2770","1284","L1","45 Francis"
"1X2275Y0910","2275","910","1","45 Francis"
"1X1750Y2014","1750","2014","1","Shapiro"
"L1X2770Y1160","2770","1160","L1","45 Francis"
"1X1627Y0825","1627","825","1","Tower"
"1X2066Y1282","2066","1282","1","Tower"
"1X1627Y0930","1627","930","1","Tower"
"1X2660Y0954","2660","954","1","45 Francis"
"2X1450Y1781","1450","1781","2","Shapiro"
"2X1395Y2674","1395","2674","2","BTM"
"2X2246Y1350","2246","1350","2","45 Francis"
"2X1591Y2560","1591","2560","2","BTM"
"L2X1512Y1909","1512","1909","L2","Shapiro"
"2X1775Y1080","1775","1080","2","Tower"
"3X2333Y0764","2333","764","3","45 Francis"
"1X1810Y1280","1810","1280","1","Tower"
"L2X1577Y2195","1577","2195","L2","Shapiro"
"3X2323Y0993","2323","993","3","45 Francis"
"1X1284Y1872","1284","1872","1","Shapiro"
"1X1758Y0850","1758","850","1","Tower"
"1X2585Y0890","2585","890","1","45 Francis"
"1X1256Y1858","1256","1858","1","Shapiro"
"1X1751Y1825","1751","1825","1","Shapiro"
"1X1600Y1830","1600","1830","1","Shapiro"
"2X1630Y1801","1630","1801","2","Shapiro"
"2X2782Y1067","2782","1067","2","45 Francis"
"2X4250Y0440","4250","440","2","15 Francis"
"1X2790Y1190","2790","1190","1","45 Francis"
"1X2790Y1070","2790","1070","1","45 Francis"
"3X1600Y2732","1600","2732","3","BTM"
"L1X2130Y0904","2130","904","L1","45 Francis"
"2X2166Y1028","2166","1028","2","45 Francis"
"1X1845Y1280","1845","1280","1","Tower"
